Area,Year,Savanna fires,Forest fires,Crop Residues,Rice Cultivation,Drained organic soils (CO2),Pesticides Manufacturing,Food Transport,Forestland,Net Forest conversion,Food Household Consumption,Food Retail,On-farm Electricity Use,Food Packaging,Agrifood Systems Waste Disposal,Food Processing,Fertilizers Manufacturing,IPPU,Manure applied to Soils,Manure left on Pasture,Manure Management,Fires in organic soils,Fires in humid tropical forests,On-farm energy use,Rural population,Urban population,Total Population - Male,Total Population - Female,total_emission,Average Temperature ??C
Romania,2012,40.33,9.77,782.92,88.62,542.90,199.00,1326.95,-287048.94,1343.32,2306.48,922.49,402.37,837.65,3964.78,1975.22,1983.36,12095.04,1176.54,1083.38,2192.27,0.00,0.00,1293.07,9283979.00,10887276.00,9750470.00,10386648.00,-252482.44,1.52
Romania,2015,2.60,0.00,1101.15,86.77,539.43,173.00,1323.38,-287048.94,1343.32,2076.59,898.33,320.23,679.09,3885.10,1710.45,3341.01,11496.63,1186.49,1161.28,2135.38,0.00,0.00,1139.69,9165608.00,10711013.00,9638704.00,10267374.00,-252449.02,1.92
Romania,2011,31.19,21.48,1140.46,99.34,541.54,205.00,1225.23,-287048.94,1343.32,2264.71,917.41,387.20,859.79,4002.20,1974.04,2145.82,12247.36,1183.01,1081.13,2210.51,0.00,0.00,1083.62,9342912.00,10950055.00,9791059.00,10429226.00,-252084.58,0.73
Romania,2013,2.92,6.64,1140.79,90.78,541.17,187.00,1287.96,-287048.94,1343.32,2134.89,850.47,298.39,631.36,3968.14,1638.29,5555.72,10733.85,1181.03,1103.96,2179.69,0.00,0.00,1070.72,9243988.00,10824213.00,9715784.00,10350762.00,-251101.84,1.51
Romania,2014,2.86,2.08,1197.28,99.72,541.17,172.00,1300.38,-287048.94,1343.32,1957.94,830.99,278.22,648.81,3938.40,1647.97,5790.98,11465.18,1187.37,1124.97,2182.00,0.00,0.00,1037.37,9207431.00,10765305.00,9681297.00,10314539.00,-250299.96,1.65
"China, mainland",2019,253.57,654.16,33102.47,146004.73,3913.74,8210.00,36621.59,-651765.30,0.00,420384.36,115265.32,83606.34,153870.90,208447.39,207094.01,129769.18,1755039.12,26090.50,54576.26,52312.57,0.00,0.00,119242.19,563652725.00,856409297.00,726781914.00,695082117.00,2902693.11,2.30
Russian Federation,2015,3291.76,3025.33,7138.08,1559.38,51157.64,1317.00,19332.46,-731109.22,15185.10,41387.37,13405.13,6519.38,16873.61,32248.02,25752.51,34713.61,222101.84,6862.15,4241.96,12446.00,0.00,0.00,16702.48,37338513.00,106549491.00,67088482.00,77579907.00,-195848.41,2.35
Russian Federation,2014,5642.80,7044.96,7152.32,1533.13,51126.58,1269.00,19446.56,-731109.22,15185.10,39569.03,13082.63,6261.68,16235.85,32398.41,26333.91,33784.47,227927.47,6816.22,4252.67,12362.78,0.00,0.00,18487.52,37449924.00,106311454.00,66881519.00,77403551.00,-185196.14,1.56
Russian Federation,2012,5703.57,7736.60,5050.79,1502.14,51244.43,1261.00,18220.00,-731109.22,15185.10,33265.09,14850.39,6786.80,17391.78,33070.18,29963.74,30636.84,249908.88,6753.83,4215.33,12266.17,0.00,0.00,15348.47,37589599.00,105830998.00,66490557.00,77138804.00,-170748.08,1.56
Russian Federation,2013,3142.22,2965.95,6271.27,1481.61,51210.28,1305.00,18643.57,-731109.22,15185.10,34954.98,14974.08,6774.70,16676.83,33174.12,28763.20,29979.86,264419.33,6873.11,4285.61,12474.50,0.00,0.00,15363.11,37531491.00,106065739.00,66689578.00,77267288.00,-162190.78,1.70
Russian Federation,2016,3980.43,7188.37,7886.97,1597.97,51502.54,1724.00,18813.13,-622211.74,34533.95,43585.42,12572.35,6229.51,15245.09,32245.83,26855.93,37516.78,224191.06,6864.94,4139.84,12193.47,0.00,0.00,15392.01,37194234.00,106770279.00,67320022.00,77789135.00,-57952.13,2.18
Chile,2014,40.88,143.99,189.36,138.72,995.01,166.00,2518.12,-81741.48,0.00,2624.52,3375.52,41.51,887.84,5091.22,335.19,943.29,4343.92,696.27,1775.32,516.34,0.00,0.00,676.30,2236368.00,15377430.00,8775549.00,8911559.00,-56242.15,0.41
Chile,2013,7.23,50.83,212.07,130.07,998.00,178.00,2604.48,-81741.48,0.00,2852.91,3230.40,71.13,1230.95,5243.91,301.60,906.69,4114.13,668.95,1777.33,522.76,0.00,0.00,741.68,2227155.00,15235827.00,8688160.00,8821764.00,-55898.36,0.54
Chile,2015,53.68,543.41,199.64,146.88,995.01,170.00,2635.74,-81741.48,0.00,2702.19,3727.95,45.77,870.70,5111.87,335.57,934.98,4599.18,706.68,1659.55,535.82,0.00,0.00,731.58,2245203.00,15517478.00,8865948.00,9004176.00,-55035.29,0.89
Chile,2011,26.31,161.74,215.49,155.59,1000.47,172.00,2324.45,-81741.48,0.00,2444.87,2706.57,53.48,834.98,7929.59,268.71,864.32,4038.04,706.59,2080.40,550.88,0.00,0.00,1236.87,2207299.00,14946058.00,8521805.00,8651769.00,-53970.12,0.37
Chile,2012,35.48,131.52,184.03,148.59,997.94,179.00,2403.83,-81741.48,0.00,2735.49,2935.76,64.93,1241.08,7797.40,306.01,892.10,4152.55,747.55,2075.06,601.69,0.00,0.00,962.24,2217485.00,15092261.00,8605184.00,8736586.00,-53149.23,0.55
Malaysia,2011,4.24,34.42,171.24,3444.24,29337.65,1840.00,4942.33,-156527.71,0.00,10469.94,5646.65,209.73,20.44,6692.50,2817.02,1821.78,21856.25,450.02,706.72,840.70,9075.17,34.42,3324.99,8129924.00,20505204.00,15021118.00,14163015.00,-52787.28,0.78
Malaysia,2012,4.66,33.48,172.77,3429.35,29723.92,2188.00,4948.06,-156527.71,0.00,10993.67,5865.99,235.23,21.28,6734.37,3881.02,1893.69,23475.22,473.61,734.78,862.73,5885.13,32.06,3576.68,8087429.00,21083027.00,15254994.00,14405218.00,-51361.99,0.92
Malaysia,2013,3.67,35.65,171.80,3364.90,29895.75,2739.00,6508.29,-156527.71,0.00,11822.23,6159.96,260.89,22.13,6784.06,4844.69,1937.04,24834.76,506.82,774.73,923.46,6991.05,35.39,3566.23,8041475.00,21665249.00,15488512.00,14646296.00,-44345.19,1.13
Malaysia,2015,11.43,46.49,177.30,3414.39,30678.01,2784.00,6775.20,-156527.71,0.00,12479.79,6481.29,322.04,23.83,6727.83,5489.44,2019.89,25083.57,525.03,802.67,905.80,8256.15,46.36,3000.39,7922592.00,22800563.00,15947910.00,15120922.00,-40476.80,1.43
Finland,2012,0.00,0.00,221.51,655.21,12825.63,65.00,966.23,-68681.92,7527.92,335.93,1241.29,219.07,821.88,562.14,753.98,662.90,5111.28,273.11,189.76,706.51,0.00,0.00,1501.54,820527.00,4592453.00,2659577.00,2754281.00,-34041.03,0.70
Finland,2015,0.26,0.11,224.88,796.51,12879.58,71.00,932.15,-68681.92,7527.92,254.31,1134.96,164.78,800.92,554.41,625.89,704.98,5409.79,275.59,191.97,702.76,0.00,0.00,1388.26,809950.00,4672016.00,2696669.00,2782792.00,-34040.88,2.80
Finland,2011,1.20,1.06,223.83,655.21,12760.57,72.00,985.36,-68681.92,7527.92,477.86,1350.59,285.13,1059.80,558.70,924.05,638.50,5100.27,274.79,189.98,716.89,0.00,0.00,1461.22,845427.00,4543815.00,2645472.00,2742694.00,-33416.99,2.30
Finland,2014,0.15,0.00,249.93,839.72,12879.45,69.00,935.18,-68681.92,7527.92,346.79,1257.44,226.90,964.35,562.64,768.31,708.10,5561.81,275.02,190.62,702.93,0.00,0.00,1412.35,809393.00,4650324.00,2686106.00,2775334.00,-33203.34,2.45
Finland,2013,0.53,0.32,244.39,839.72,12834.87,70.00,958.55,-68681.92,7527.92,409.98,1325.36,264.93,997.73,564.79,825.60,677.34,5512.34,275.68,189.96,711.79,0.00,0.00,1461.51,808694.00,4627922.00,2673485.00,2765386.00,-32988.60,2.12
Chile,2016,25.59,98.63,211.57,164.38,1004.12,171.00,2779.96,-58269.10,0.00,3192.20,4185.46,37.80,1061.48,5225.86,384.35,994.75,5265.06,693.51,1674.81,525.25,0.00,0.00,892.17,2252605.00,15657149.00,8971935.00,9111944.00,-29681.15,1.04
Chile,2020,24.38,198.27,158.21,163.47,1035.61,171.00,2721.07,-58269.10,0.00,2306.70,4913.40,385.92,1379.30,5519.85,253.40,1173.92,5369.06,703.33,1870.61,559.35,0.00,0.00,1519.80,2267065.00,16205574.00,9579957.00,9720358.00,-27842.45,0.93
Chile,2019,35.48,142.45,179.22,162.53,1034.49,171.00,2992.36,-58269.10,0.00,2159.52,4883.56,1062.04,1392.20,5452.15,270.24,1080.22,5159.74,683.66,1845.22,541.60,0.00,0.00,1520.55,2265846.00,16070807.00,9450404.00,9589082.00,-27500.88,0.69
Chile,2018,8.86,40.42,196.95,182.85,1022.99,163.00,2964.38,-58269.10,0.00,1994.73,4937.67,1026.38,1118.81,5378.83,319.07,1066.12,5848.33,683.64,1717.18,525.06,0.00,0.00,1584.73,2262995.00,15934214.00,9281300.00,9420150.00,-27489.10,0.55
Serbia and Montenegro,2001,1.45,0.00,484.78,926.34,37.38,15.00,419.45,-39752.00,0.00,48.92,35.68,23.95,16.91,1426.25,510.53,181.98,5377.65,614.06,433.27,1714.28,0.00,0.00,,4673072.00,5353521.00,4127353.00,4423505.00,-27484.12,0.93
Serbia and Montenegro,2002,1.12,2.47,453.18,926.34,37.38,6.00,509.51,-39752.00,0.00,49.05,45.10,23.95,13.39,1487.66,510.53,220.80,6157.58,601.50,417.97,1684.26,0.00,0.00,,4617570.00,5348517.00,4118623.00,4418382.00,-26604.21,1.37
Chile,2017,153.06,1286.60,190.02,129.68,1008.33,169.00,2872.54,-58269.10,0.00,3020.36,4602.39,800.66,1034.57,5293.93,422.58,1047.36,5295.52,630.92,1718.35,510.84,0.00,0.00,1498.81,2258558.00,15796168.00,9114379.00,9254199.00,-26583.59,0.86
Serbia and Montenegro,2003,2.45,2.60,324.98,926.34,37.38,15.00,558.09,-39752.00,0.00,51.29,55.30,71.30,32.26,1536.64,524.53,138.15,6220.82,593.77,417.98,1667.10,0.00,0.00,,4567662.00,5349304.00,4109218.00,4410596.00,-26576.03,0.77
Malaysia,2014,20.96,152.67,134.83,3078.85,30695.09,2100.00,7121.70,-156527.71,0.00,11603.44,6207.73,279.23,22.98,6726.05,4564.62,2027.02,25558.09,516.19,782.10,955.68,23931.38,150.60,3448.38,7987242.00,22240775.00,15720763.00,14885695.00,-26450.14,1.20
Serbia and Montenegro,2004,0.14,0.39,527.43,926.34,37.38,1.00,609.51,-39752.00,0.00,65.15,66.49,71.30,53.70,1586.22,524.53,410.71,7211.86,580.06,418.88,1623.30,0.00,0.00,,4523245.00,5350243.00,4097410.00,4398529.00,-25037.62,0.63
Serbia and Montenegro,2005,0.08,0.26,496.80,926.34,37.38,16.00,470.91,-39752.00,0.00,46.52,80.64,23.31,34.56,1624.92,510.53,380.25,7862.78,528.02,391.62,1453.00,0.00,0.00,,4481055.00,5350319.00,4081244.00,4382576.00,-24868.08,-0.12
Bulgaria,2020,2.92,1.30,484.55,96.82,1097.30,114.00,730.26,-38226.47,3247.79,850.31,570.96,144.64,331.19,1102.77,838.56,4.13,4700.10,251.87,194.21,417.54,0.00,0.00,592.97,1687490.00,5253037.00,3385278.00,3593896.00,-22452.29,2.11
Bulgaria,2016,4.09,2.47,508.08,93.99,1100.69,113.00,714.82,-38226.47,3247.79,900.98,626.09,105.86,341.84,1003.61,880.38,1.65,6875.56,226.45,195.17,398.77,0.00,0.00,570.72,1830702.00,5300792.00,3512414.00,3733561.00,-20314.46,1.58
Bulgaria,2017,3.54,2.86,542.69,81.80,1099.82,101.00,720.89,-38226.47,3247.79,989.41,649.33,113.89,355.29,1026.63,949.52,2.61,8255.56,236.16,194.23,408.27,0.00,0.00,574.69,1794614.00,5289957.00,3481952.00,3700476.00,-18670.48,1.35
Viet Nam,1990,199.37,802.27,1408.18,29863.42,3895.98,569.00,444.73,-77761.80,0.00,422.84,4018.03,508.14,1.35,6023.81,2188.66,419.92,1310.26,866.53,1625.65,3628.00,392.29,244.69,791.15,54392182.00,13817423.00,32660517.00,34252096.00,-18137.55,0.47
Chile,2001,3.43,29.24,192.68,176.83,1003.44,43.00,1671.76,-36480.13,0.00,1462.55,609.68,38.47,400.79,5299.10,478.73,438.36,3553.20,573.17,2130.51,459.60,0.00,0.00,552.31,2106259.00,13338710.00,7711571.00,7812408.00,-17363.29,0.17
Bulgaria,2018,1.29,0.65,561.64,86.24,1096.32,144.00,741.63,-38226.47,3247.79,853.01,593.73,117.81,336.61,1051.96,891.86,2.97,9733.35,238.57,193.53,400.00,0.00,0.00,595.29,1758643.00,5278205.00,3451291.00,3666139.00,-17338.23,1.92
Viet Nam,1991,199.37,802.27,1447.46,31147.84,3895.98,480.00,386.84,-77761.80,0.00,401.62,4102.88,368.28,1.26,6161.23,2125.52,419.92,1510.23,873.02,1626.17,3641.53,392.29,244.69,523.70,55298504.00,14372398.00,33377857.00,34980963.00,-17009.71,0.61
Bulgaria,2019,4.28,1.95,611.99,92.67,1098.16,206.00,771.24,-38226.47,3247.79,817.32,642.21,144.64,324.14,1077.23,891.01,3.45,10143.12,228.09,182.74,374.20,0.00,0.00,592.97,1722907.00,5265832.00,3420914.00,3631617.00,-16771.28,2.36
Chile,2002,15.19,116.05,204.15,173.30,1001.17,40.00,1741.08,-36480.13,0.00,1433.57,657.96,55.34,456.06,5915.36,484.55,484.19,4150.49,578.56,2096.09,467.86,0.00,0.00,655.76,2092618.00,13531017.00,7794228.00,7899562.00,-15753.41,0.04
Viet Nam,1993,199.37,802.27,1611.44,32416.44,3895.98,409.00,475.21,-77761.80,0.00,469.05,2354.90,299.70,1.44,6420.48,2136.99,40.89,2060.24,985.30,1752.52,4191.99,392.29,244.69,938.65,57041624.00,15518803.00,34771767.00,36404639.00,-15662.97,0.22
Serbia,2006,0.84,0.65,445.21,926.34,2.49,134.15,996.40,-35593.11,0.00,1479.07,1107.65,210.75,698.83,1579.06,1603.49,221.35,7922.45,501.50,356.39,1420.26,0.00,0.00,435.51,4210060.00,4963229.00,3755252.00,4039539.00,-15550.73,0.61
Viet Nam,1992,199.37,802.27,1544.88,32001.32,3895.98,437.00,323.36,-77761.80,0.00,380.12,4179.59,307.22,1.35,6290.47,1984.65,427.60,1970.22,936.20,1684.62,3962.24,392.29,244.69,603.29,56188636.00,14941812.00,34086353.00,35702394.00,-15193.08,0.10
Chile,2003,23.43,88.25,215.10,174.85,1000.16,13.00,1734.70,-36480.13,0.00,1462.28,805.13,50.22,460.21,6517.61,4.08,533.63,4750.75,577.86,2079.66,456.69,0.00,0.00,480.39,2106807.00,13692735.00,7874834.00,7984277.00,-15052.11,0.25
Serbia,2009,1.10,3.64,467.95,926.34,2.49,131.60,859.36,-35593.11,0.00,1262.96,1296.87,275.73,496.46,1622.15,1164.23,226.81,9332.21,495.22,325.80,1409.30,0.00,0.00,347.54,4099850.00,4964906.00,3697793.00,3990242.00,-14945.35,1.36
Georgia,1995,5.12,6.01,31.79,248.06,0.00,76.00,57.41,-18267.55,0.00,276.05,75.69,29.38,13.09,428.87,18.89,165.72,881.98,52.35,614.17,105.64,0.00,0.00,240.47,2317232.00,2702829.00,2278682.00,2598994.00,-14940.87,0.94
Georgia,1996,3.58,8.45,37.50,248.06,0.00,54.00,182.17,-18267.55,0.00,127.79,65.07,5.76,14.60,432.90,23.61,206.32,967.13,53.27,634.97,106.41,0.00,0.00,294.20,2294735.00,2650831.00,2222485.00,2538787.00,-14801.76,0.56
Serbia,2008,0.45,0.26,463.66,926.34,2.49,131.92,896.08,-35593.11,0.00,1229.78,1242.98,214.36,674.20,1601.03,1414.18,214.88,9322.55,500.97,346.10,1443.71,0.00,0.00,236.87,4135754.00,4963798.00,3716486.00,4006308.00,-14730.31,1.60
Serbia,2007,19.51,25.11,355.93,926.34,2.49,130.29,837.36,-35593.11,0.00,1318.00,1167.26,184.62,732.83,1572.59,1836.73,258.41,8612.10,519.45,351.75,1512.21,0.00,0.00,733.02,4172280.00,4962934.00,3735510.00,4022664.00,-14497.10,1.67
Georgia,1994,5.12,6.01,30.52,248.06,0.00,54.00,31.86,-18267.55,0.00,210.66,146.66,170.48,8.99,405.12,14.17,127.94,1165.94,54.74,619.43,106.36,0.00,0.00,465.07,2345420.00,2762254.00,2336340.00,2661573.00,-14396.41,0.17
Georgia,1997,1.69,2.84,55.51,248.06,0.00,28.00,148.09,-18267.55,0.00,195.03,90.15,2.43,17.20,443.39,28.33,249.01,1159.62,50.97,637.19,104.27,0.00,0.00,521.01,2276602.00,2604646.00,2164000.00,2476032.00,-14284.77,0.04
Georgia,1998,2.26,5.03,39.98,248.06,0.00,53.00,150.90,-18267.55,0.00,322.69,54.15,2.81,3.75,452.67,35.02,291.26,1004.99,55.02,660.99,108.09,0.00,0.00,517.24,2262055.00,2563131.00,2105729.00,2412677.00,-14259.64,1.38
Georgia,1999,1.96,7.68,49.79,248.06,0.00,52.00,137.75,-18267.55,0.00,293.00,58.71,2.61,5.45,461.21,25.29,336.74,1168.13,54.29,678.67,112.38,0.00,0.00,410.06,2249151.00,2524018.00,2046464.00,2348037.00,-14163.79,1.32
Georgia,2000,0.46,1.42,30.83,248.06,0.00,54.00,117.64,-18267.55,0.00,349.86,67.39,1.59,5.82,468.17,35.34,376.27,1263.37,58.91,719.55,122.31,0.00,0.00,345.34,2236449.00,2485610.00,1984348.00,2280824.00,-14001.21,0.83
Viet Nam,1994,199.37,802.27,1656.71,32610.17,3895.98,432.00,528.59,-77761.80,0.00,607.67,2459.03,431.68,1.35,6534.96,2614.10,82.94,2280.29,1017.95,1800.16,4355.82,392.29,244.69,975.79,57828504.00,16096578.00,35423993.00,37077094.00,-13837.99,0.48
Chile,2004,17.99,70.70,228.68,154.22,1001.83,17.00,1770.29,-36480.13,0.00,1685.13,994.67,43.86,505.51,7130.56,8.30,700.65,4354.33,621.81,2128.99,485.32,0.00,0.00,815.58,2120588.00,13853190.00,7952250.00,8065716.00,-13744.71,0.65
Bulgaria,2009,1.60,0.26,380.15,65.17,1112.46,57.00,592.79,-28218.39,3472.85,864.79,576.71,137.26,355.35,1015.61,1078.40,2.30,3407.49,255.76,255.28,459.90,0.00,0.00,631.15,2090439.00,5365591.00,3689341.00,3945394.00,-13496.12,1.30
Bulgaria,2002,2.32,0.78,422.69,32.66,1125.29,58.00,432.14,-28218.39,3472.85,647.83,319.06,81.17,281.79,1259.98,845.00,2.25,3664.30,281.72,296.78,515.25,0.00,0.00,998.18,2397299.00,5468787.00,3841273.00,4133537.00,-13478.36,1.09
Bulgaria,2010,3.94,11.58,415.20,93.90,1110.38,52.00,580.34,-28218.39,3472.85,901.29,617.85,123.83,343.94,1017.83,1035.81,2.20,3503.61,240.77,215.38,431.68,0.00,0.00,620.23,2050944.00,5353646.00,3671633.00,3920640.00,-13423.78,1.27
Georgia,1993,5.12,6.01,27.80,248.06,0.00,58.00,77.69,-18267.55,0.00,749.04,206.30,106.35,6.54,379.75,9.44,88.01,1498.13,63.12,632.45,120.90,0.00,0.00,606.58,2377467.00,2827167.00,2398691.00,2728820.00,-13378.27,-1.04
Serbia,2010,0.75,0.52,477.13,926.34,2.49,131.60,873.83,-35593.11,0.00,1258.03,1372.85,383.60,494.12,1643.98,1952.55,317.29,9978.61,501.84,312.48,1383.05,0.00,0.00,270.61,4063980.00,4965736.00,3679274.00,3974474.00,-13311.44,1.02
Bulgaria,2001,22.86,0.00,389.64,30.55,1126.45,74.00,411.45,-28218.39,3472.85,714.01,315.15,86.73,252.07,1184.82,757.73,2.23,3822.13,315.40,378.54,569.81,0.00,0.00,982.34,2445343.00,5485203.00,3870287.00,4164573.00,-13309.64,1.07
Finland,1993,0.77,0.69,202.25,663.66,10702.07,52.00,835.81,-38483.00,1917.86,616.20,277.56,168.81,429.31,1720.90,984.53,10.12,2960.94,350.44,246.18,883.17,0.00,0.00,2184.06,993610.00,4078179.00,2463767.00,2602838.00,-13275.65,0.52
Finland,1992,0.77,0.69,163.33,663.66,10702.47,47.00,848.62,-38483.00,1917.86,494.78,229.83,137.96,400.59,1626.67,930.80,407.50,3038.94,354.49,248.74,894.30,0.00,0.00,2120.78,1002530.00,4042395.00,2450177.00,2591943.00,-13253.23,1.35
Chile,2005,39.95,118.66,224.49,155.03,1002.03,2.00,1919.70,-36480.13,0.00,1710.15,1075.37,39.77,486.92,7849.89,43.91,952.84,4079.36,652.77,2117.26,515.01,0.00,0.00,458.35,2134099.00,14012965.00,8028913.00,8146398.00,-13036.68,0.26
Finland,1995,0.77,0.69,204.92,629.24,10722.82,40.00,849.37,-38483.00,1917.86,697.05,476.71,180.28,431.56,1930.93,1051.41,75.13,3126.14,334.80,230.97,864.46,0.00,0.00,1899.07,974504.00,4144501.00,2486713.00,2621230.00,-12818.81,1.05
Finland,1994,0.77,0.69,207.10,629.24,10700.67,59.00,864.66,-38483.00,1917.86,822.25,405.53,208.53,474.26,1821.66,1144.08,42.91,3028.36,348.28,242.58,879.48,0.00,0.00,1877.15,984374.00,4112723.00,2475959.00,2612532.00,-12807.95,0.46
Bulgaria,2003,4.06,0.39,238.46,44.16,1123.44,47.00,485.40,-28218.39,3472.85,767.21,381.30,96.47,322.71,1363.80,1019.19,2.28,3875.65,313.24,314.42,543.61,0.00,0.00,1002.14,2350579.00,5453302.00,3814320.00,4103420.00,-12800.59,0.34
Finland,1991,0.77,0.69,210.50,653.50,10702.47,46.00,851.15,-38483.00,1917.86,595.76,278.03,180.45,428.11,1516.63,1027.16,407.50,3288.15,365.36,254.97,922.17,0.00,0.00,2075.45,1011704.00,4007421.00,2434638.00,2579216.00,-12760.33,1.07
Chile,2007,22.68,89.53,156.19,134.80,1001.17,160.00,2045.05,-36480.13,0.00,2079.90,1475.27,93.82,796.23,6776.49,119.47,673.94,4498.47,594.90,2134.96,545.80,0.00,0.00,457.37,2160337.00,14331350.00,8186994.00,8308544.00,-12624.09,-0.23
Chile,2009,31.59,104.22,169.70,146.66,1000.54,159.00,2173.14,-36480.13,0.00,2059.51,1799.22,61.63,828.81,6817.14,194.09,792.65,3687.44,550.25,2206.17,522.77,0.00,0.00,562.21,2185026.00,14644416.00,8353799.00,8479648.00,-12613.38,0.39
Chile,2006,9.04,77.44,200.94,173.30,1001.54,2.00,1898.50,-36480.13,0.00,1720.76,1186.40,55.75,591.32,8143.02,82.41,903.86,4114.81,675.04,2092.72,542.74,0.00,0.00,439.66,2147356.00,14172436.00,8107283.00,8227292.00,-12568.89,0.55
Georgia,1992,5.12,6.01,33.97,248.06,0.00,61.00,123.13,-18267.55,0.00,822.83,264.75,232.19,3.96,347.81,4.72,50.97,1728.80,84.63,689.30,158.00,0.00,0.00,849.37,2407484.00,2890602.00,2452656.00,2786671.00,-12552.94,-1.22
Bulgaria,1998,1.21,13.19,339.48,25.61,1131.06,107.00,412.10,-25291.48,2323.20,802.22,261.79,125.13,234.72,1032.38,394.86,2.18,3566.38,336.86,412.88,608.95,0.00,0.00,1065.59,2567041.00,5570523.00,3973469.00,4261458.00,-12094.68,0.46
Bulgaria,2004,4.23,0.00,435.96,44.45,1121.77,39.00,507.56,-28218.39,3472.85,740.07,415.07,86.55,355.79,1383.51,1153.92,2.21,4227.21,318.54,304.70,557.82,0.00,0.00,979.86,2304921.00,5438343.00,3789758.00,4075559.00,-12067.32,0.68
Bulgaria,1999,1.29,8.46,316.33,11.11,1128.81,102.00,427.54,-25291.48,2323.20,724.42,270.59,99.20,245.33,1042.20,503.20,2.22,3599.80,363.92,424.00,668.31,0.00,0.00,1096.25,2526806.00,5540077.00,3934863.00,4227439.00,-11933.30,1.15
Finland,1990,0.77,0.69,258.07,898.11,10702.47,47.00,875.34,-38483.00,1917.86,535.84,266.40,193.60,423.16,1406.18,1021.85,435.11,3591.23,383.33,261.59,968.70,0.00,0.00,2429.15,1030867.00,3965355.00,2419497.00,2567048.00,-11866.56,1.66
Finland,1997,0.25,1.91,232.08,839.72,10771.22,36.00,868.97,-38483.00,1917.86,842.85,805.35,211.31,484.48,2004.18,943.36,143.69,3237.70,335.83,230.20,869.70,0.00,0.00,1860.32,954820.00,4196926.00,2504882.00,2635061.00,-11846.01,0.94
